철도운영기관명,운영기관코드,운영노선명,노선코드,역명,역코드,관리번호,지상지하구분,지상지하구분코드,역층,상세위치,금융기관명,이용가능시간,연락처,데이터기준일자,참고사항
공항철도,AR,공항철도선,A1,인천공항2터미널,0485,22,지하,2,3,(B3) 승강장 에스컬레이터 근처,신한은행,05:00~24:00,1599-8000,20251231,
공항철도,AR,공항철도선,A1,인천공항2터미널,0485,23,지하,2,3,(B3) 승강장 에스컬레이터 근처,신한은행,05:00~24:00,1599-8000,20251231,
대구교통공사,DG,1호선,1,대곡,0762,1,지하,2,1,"(B1) 통로층 임대매장 근처, 1,4번 출입구 방향",한국전자금융,05:00~24:00,1577-4655,20251231,2023년 재계약
대구교통공사,DG,1호선,1,대구역,0764,2,지하,2,2,"(B2) 대합실 임대매장 근처, 롯데백화점 방향",한국전자금융,05:00~24:00,1577-4655,20251231,2023년 재계약
대구교통공사,DG,1호선,1,동대구역,0769,3,지하,2,1,"(B1) 대합실 임대매장 근처, 3번 출입구 방향",한국전자금융,05:00~24:00,1577-4655,20251231,2023년 재계약
대구교통공사,DG,1호선,1,반야월,0781,4,지하,2,1,"(B1) 대합실 화장실 근처, 1,4번 출입구 방향",한국전자금융,05:00~24:00,1577-4655,20251231,2023년 재계약
대구교통공사,DG,1호선,1,상인,0788,5,지하,2,1,"(B1) 대합실 임대매장 근처, 1,8번 출입구 방향",한국전자금융,05:00~24:00,1577-4655,20251231,2023년 재계약
대구교통공사,DG,1호선,1,서부정류장,0791,6,지하,2,1,"(B1) 대합실 임대매장 근처, 3번 출입구 방향",한국전자금융,05:00~24:00,1577-4655,20251231,2023년 재계약
대구교통공사,DG,1호선,1,안심,0803,7,지하,2,1,"(B1) 대합실 임대매장 근처, 5번 출입구 방향",한국전자금융,05:00~24:00,1577-4655,20251231,2023년 재계약
대구교통공사,DG,1호선,1,영대병원,0808,8,지하,2,1,"(B1) 대합실 임대매장 근처, 1,3번 출입구 방향",한국전자금융,05:00~24:00,1577-4655,20251231,2023년 재계약
대구교통공사,DG,1호선,1,율하,0815,9,지하,2,1,"(B1) 대합실 발매기실 근처, 2번 출입구 방향",한국전자금융,05:00~24:00,1577-4655,20251231,2023년 재계약
대구교통공사,DG,1호선,1,중앙로,0820,10,지하,2,1,"(B1) 통로층 임대매장 근처, 2번출입구 방향",한국전자금융,00:30~24:00,1577-4655,20251231,2023년 재계약
대구교통공사,DG,2호선,2,문양,0779,11,지상,1,1,"(지상1) 외부출입구 근처, 2번 출입구 방향",다사농업협동조합,06:00~24:00,1661-2100,20251231,2023년 재계약
대전교통공사,DJ,1호선,1,지족역,0880,1,지상,1,1,1번 출구 방향,㈜하나은행,06:00~24:00,042-2948-5123,20251231,
부산교통공사,BS,1호선,1,신평,0710,2,지상,1,1,"(F1) 표내는 곳 인근, 3번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,하단,0743,3,지하,2,1,"(B1) 표내는 곳 인근, 3번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,당리,0647,4,지하,2,1,(B1) 4번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,사하,0695,5,지하,2,1,(B1) 1번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,괴정,0625,6,지하,2,1,(B1) 3번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,대티,0651,7,지하,2,1,"(B1) 1번 엘리베이터 옆, 2번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,서대신,0696,8,지하,2,1,(B1) 만남의 광장 옆,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,동대신,0655,9,지하,2,1,(B1) 6번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,토성,0741,10,지하,2,1,"(B1) 표내는 곳 인근, 2번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,자갈치,0724,11,지하,2,1,"(B1) 표내는 곳 인근, 6번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,남포,0644,12,지하,2,1,"(B1) 표내는 곳 인근, 2번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,중앙,0734,13,지하,2,1,"(B1) 표내는 곳 인근, 1번 엘리베이터 옆",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,부산,0684,14,지하,2,1,"(B1) 표내는 곳 및 대합실 고객센터 근처,",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,초량,0739,15,지하,2,1,"(B1) 6번, 8번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,부산진,0687,16,지하,2,1,"(B1) 6번, 8번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,좌천,0731,17,지하,2,1,"(B1) 5번, 7번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,범일,0680,18,지하,2,1,(B1) 표내는 곳 및 대합실 고객센터 근처,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,서면,0698,19,지하,2,1,(B1) 8번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,범내골,0678,20,지하,2,1,"(B1) 6번, 8번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,부전,0691,21,지하,2,1,"(B1) 표내는 곳 인근, 1번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,양정,0715,22,지하,2,1,"(B1) 표내는 곳 인근, 5번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,연산,0716,23,지하,2,1,"(B1) 표내는 곳 인근, 5번, 7번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,시청,0709,24,지하,2,1,"(B1) 표내는 곳 인근, 6번, 8번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,교대,0626,25,지하,2,1,"(B1) 표내는 곳 인근, 3번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,동래,0657,26,지상,1,1,(F1) 1번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,명륜,0666,27,지상,1,1,(F1) 2번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,온천장,0720,28,지상,1,1,(F1) 1번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,부산대,0685,29,지상,1,1,(F1) 4번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,장전,0727,30,지상,1,1,(F1) 1번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,구서,0630,31,지상,1,2,(F2) 1번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,두실,0662,32,지상,1,1,(F1) 1번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,남산,0640,33,지하,2,1,"(B1) 표내는 곳 인근, 5번,7번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,범어사,0679,34,지하,2,2,(B1) 2번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,1호선,1,노포,0646,35,지상,1,1,(F1) 대합실 고객센터 근처,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,2호선,2,장산,0725,1,지하,2,1,"(B1)고객센터 맞은편, 5번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,2호선,2,해운대,0744,2,지하,2,1,"(B1)고객센터 맞은편, 2번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,2호선,2,센텀시티,0702,3,지하,2,1,"(B1) 금은거래소 맞은편, 3번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,2호선,2,수영,0706,4,지하,2,1,(B1) 8번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,2호선,2,광안,0623,5,지하,2,1,(B1) 4번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,2호선,2,경성대부경대,0620,6,지하,2,1,"(B1) 5,6번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,2호선,2,대연,0649,7,지하,2,1,"(B1) 화장품가게 돌아가는편, 3번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,2호선,2,전포,0729,8,지하,2,1,"(B1) 물품보관함 오른쪽, 만남의 장소 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,2호선,2,서면,0698,9,지하,2,1,"(B1) 화장실 오른쪽 벽면, 1,2번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,2호선,2,서면,0698,10,지하,2,1,(B1) 고객센터 기준 왼편 전포 방향 물품보관함 옆,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,2호선,2,가야,0612,11,지하,2,1,"(B1) 화장실 오른쪽 벽면, 1,2번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,2호선,2,동의대,0661,12,지하,2,1,"(B1) 5,7번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,2호선,2,개금,0616,13,지하,2,1,"(B1) 고객센터 앞쪽, 1,3번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,2호선,2,주례,0732,14,지하,2,1,"(B1) 화장품가게 맞은편, 1,3번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,2호선,2,사상,0693,15,지하,2,1,(B1) 고객센터 맞은편 기둥,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,2호선,2,덕천,0653,16,지하,2,1,(B1) 5번 출입구 방향 환기실 옆,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,2호선,2,덕천,0653,17,지하,2,1,(B1) 5번 출입구 방향 환기실 옆,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,2호선,2,화명,0746,18,지하,2,1,(B1) 고객센터 맞은편,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,2호선,2,증산,0735,19,지상,1,1,(B1) 고객센터 맞은편,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,2호선,2,남양산,0642,20,지상,1,2,(B1) 고객센터 오른쪽 방향,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,2호선,2,양산,0714,21,지상,1,2,(F2) 고객센터 오른쪽,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,3호선,3,대저,0650,1,지상,1,1,(F1) 물품보관함 옆,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,3호선,3,망미,0665,2,지하,2,1,(B1) 물품보관함 옆,(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,3호선,3,미남,0673,3,지하,2,1,"(B1) 고객센터 맞은편, 물품보관함 오른쪽 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,3호선,3,연산,0716,4,지하,2,1,"(B1) 5,7번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
부산교통공사,BS,3호선,3,종합운동장,0730,5,지하,2,1,"(B1) 3,4,6,7번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220,20251231,
서울9호선,S9,9호선,9,개화,0028,901,지상,1,1,(1F) 1번 출입구 방면 에스컬레이터 옆,KB국민은행,00:00~24:00,1577-4655,20250612,
서울9호선,S9,9호선,9,김포공항,0099,902,지하,2,1,(B1) 편의점 방면 발매기실 옆,KB국민은행,00:00~24:00,1577-4655,20250612,
서울9호선,S9,9호선,9,공항시장,0056,903,지하,2,1,(B1) 2번 출입구 방면 안전관리실 옆,KB국민은행,00:00~24:00,1577-4655,20250612,
서울9호선,S9,9호선,9,신방화,0364,904,지하,2,1,(B1) 6번 출입구 방면 발매기실 옆,KB국민은행,00:00~24:00,1577-4655,20250612,
서울9호선,S9,9호선,9,마곡나루,0178,905,지하,2,1,(B1) 2번 출입구 방면 엘리베이터 옆,KB국민은행,00:00~24:00,1577-4655,20250612,
서울9호선,S9,9호선,9,양천향교,0405,906,지하,2,1,(B1) 편의점 맞은편,KB국민은행,00:00~24:00,1577-4655,20250612,
서울9호선,S9,9호선,9,가양,0005,907,지하,2,1,(B1) 5번 출입구 방면,KB국민은행,00:00~24:00,1577-4655,20250612,
서울9호선,S9,9호선,9,증미,0531,908,지하,2,1,(B1) 3번 출입구 방면,KB국민은행,00:00~24:00,1577-4655,20250612,
서울9호선,S9,9호선,9,등촌,0173,909,지하,2,1,(B1) 1번 출입구 방향 좌측면,KB국민은행,00:00~24:00,1577-4655,20250612,
서울9호선,S9,9호선,9,염창,0419,910,지하,2,1,(B1) 편의점 옆,KB국민은행,00:00~24:00,1577-4655,20250612,
서울9호선,S9,9호선,9,신목동,0362,911,지하,2,2,(B2) 2번 출입구 방면 화장실 옆,KB국민은행,05:00~24:00,1577-4655,20250612,
서울9호선,S9,9호선,9,선유도,0308,912,지하,2,1,(B1) 2번 출입구 옆,KB국민은행,00:00~24:00,1577-4655,20250612,
서울9호선,S9,9호선,9,당산,0126,913,지하,2,1,(B1) 편의점 맞은편,KB국민은행,00:00~24:00,1577-4655,20250612,
서울9호선,S9,9호선,9,국회의사당,0081,914,지하,2,1,"(B2) 대합실 편의점 맞은편, 4번 5번 출입구 방향",KB국민은행,00:00~24:00,1577-4655,20250612,
서울9호선,S9,9호선,9,여의도,0412,915,지하,2,1,(B1) 3번 출입구 방면 편의점 앞,KB국민은행,05::00~24:00,1577-4655,20250612,
서울9호선,S9,9호선,9,샛강,0286,916,지하,2,2,(B2) 3번 출입구 방면,KB국민은행,00:00~24:00,1577-4655,20250612,
서울9호선,S9,9호선,9,노량진,0114,917,지하,2,1,(B1) 7번 출입구 방면,KB국민은행,00:00~24:00,1577-4655,20250612,
서울9호선,S9,9호선,9,노들,0113,918,지하,2,1,(B1) 1번 출입구 방향 엘리베이터(3호기) 옆,KB국민은행,00:00~24:00,1577-4655,20250612,
서울9호선,S9,9호선,9,흑석,0610,919,지하,2,1,"(B1) 편의점 발매기, 생태공원 앞",KB국민은행,00:00~24:00,1577-4655,20250612,
서울9호선,S9,9호선,9,동작,0167,920,지하,2,2,(B2) 5번 출입구 방면 청년창업스튜디오 앞,KB국민은행,00:00~24:00,1577-4655,20250612,
서울9호선,S9,9호선,9,구반포,0073,921,지하,2,1,(B1) 대합실 FREE 구역,KB국민은행,00:00~24:00,1577-4655,20250612,
서울9호선,S9,9호선,9,신반포,0363,922,지하,2,1,(B1) 4번 출구 방면,KB국민은행,00:00~24:00,1577-4655,20250612,
서울9호선,S9,9호선,9,고속터미널,0048,923,지하,2,1,"(B1) 편의점방면, 8번 출입구 방향",KB국민은행,00:00~24:00,1577-4655,20250612,
서울9호선,S9,9호선,9,사평,0259,924,지하,2,1,(B1) 대합실 편의점 방면,KB국민은행,00:00~24:00,1577-4655,20250612,
서울9호선,S9,9호선,9,신논현,0354,925,지하,2,1,(B1) 대합실 4출구 하단부,KB국민은행,00:00~24:00,1577-4655,20250612,
서울9호선,S9,9호선,9,봉은사,0241,926,지하,2,1,(B1) 5번/6번 출입구 오른쪽 방향,NH농협은행,05:00~25:00,1577-4655,20250516,
서울9호선,S9,9호선,9,종합운동장,0518,927,지하,2,1,(B1) 9번출구 대합실 여자화장실 옆,NH농협은행,05:00~25:00,1577-4655,20250516,
서울9호선,S9,9호선,9,석촌,0305,928,지하,2,2,(B2) 고객안전실 옆,NH농협은행,05:00~25:00,1577-4655,20250516,
서울9호선,S9,9호선,9,올림픽공원(한국체대),0438,929,지하,2,1,(B1) 외부 대합실 GS 편의점 옆,NH농협은행,05:00~25:00,1577-4655,20250516,
서울교통공사,S1,1호선,1,서울역,0296,101,지하,2,1,4호선 연결통로,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,1호선,1,시청역,0347,102,지하,2,1,화장실 맞은편,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,1호선,1,종각역,0514,103,지하,2,1,3번 출구 방향,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,1호선,1,종각역,0514,104,지하,2,1,6번 출구 방향,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,1호선,1,종로3가역,0515,105,지하,2,1,"1,2번 출구 방향",효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,1호선,1,종로3가역,0515,106,지하,2,1,"12,13번 출구 방향",효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,1호선,1,종로5가역,0517,107,지하,2,1,대합실 중앙,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,1호선,1,동대문역,0155,108,지하,2,1,6번출구 방향,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,1호선,1,신설동역,0367,109,지하,2,1,"11,12번 출구 방향 게이트 앞",효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,1호선,1,제기동역,0512,110,지하,2,2,"4,3번 출구 방향 대합실",효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,1호선,1,청량리역,0552,111,지하,2,2,"2,3번 출구 방향 대합실",효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,1호선,1,청량리역,0552,112,지하,2,2,롯데백화점 연결통로 방향,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,강남역,0017,201,지하,2,1,"1,12번 출구 방향 사이",효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,강남역,0017,202,지하,2,1,"7,10번 출구 방향 사이",효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,강남역,0017,203,지하,2,1,2번 출구 방향,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,역삼역,0415,204,지하,2,1,2번 출구 방향,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,선릉역,0306,205,지하,2,1,"1,10번 출구 방향",효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,삼성역,0266,206,지하,2,1,고객안내부스 옆,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,삼성역,0266,207,지하,2,1,화장실 부근 벽면,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,종합운동장역,0518,208,지하,2,1,6번 출구 방향,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,잠실새내역,0499,209,지하,2,1,2번 출구 방향,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,잠실새내역,0499,210,지하,2,1,4번 출구 벽면,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,잠실역,0497,211,지하,2,1,남자화장실 입구,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,잠실역,0497,212,지하,2,1,대합실 중앙,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,잠실나루역,0498,213,지상,1,1,2번 출구 방향,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,잠실나루역,0498,214,지상,1,1,3번 출구 방향,효성티앤에스,05:00~24:00,080-920-2220,,
서울교통공사,S1,2호선,2,강변역,0023,215,지상,1,1,역무실 앞,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,강변역,0023,216,지상,1,1,역무실 옆,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,구의역,0076,217,지상,1,2,3번 출구방향 기둥,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,구의역,0076,218,지상,1,2,4번 출구방향 기둥,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,건대입구역,0031,219,지상,1,2,2번 출구 앞,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,성수역,0314,220,지상,1,2,"2,3번 출구 방향",효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,용답역,0443,221,지상,1,1,남자화장실 옆 통로,효성티앤에스,05:00~24:00,080-920-2220,,
서울교통공사,S1,2호선,2,신답역,0355,222,지상,1,2,2층 대합실,효성티앤에스,05:00~24:00,080-920-2220,,
서울교통공사,S1,2호선,2,뚝섬역,0175,223,지상,1,2,"1,8번 출구 방향",효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,한양대역,0588,224,지상,1,2,2번 출구 앞,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,왕십리역,0441,225,지하,2,1,3번 출구 앞,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,왕십리역,0441,226,지하,2,1,6-1 출구 쪽,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,신당역,0356,227,지하,2,1,4번 출구 방향,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,신당역,0356,228,지하,2,1,물품보관함 옆,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,동대문역사역,0156,229,지하,2,1,을지로4가 연결통로 방면,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,을지로4가역,0465,230,지하,2,1,"3,4번 출구 방향 대합실",효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,을지로3가역,0464,231,지하,2,1,"1,2,11,12번 출구 방향",효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,을지로입구역,0466,232,지하,2,1,역무실 앞 기둥,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,시청역,0347,233,지하,2,1,8번 출구 방향,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,충정로역,0564,234,지하,2,2,역무실맞은편 공중전화 옆,효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,아현역,0386,235,지하,2,1,"1,2,4,3번 출구 방향 중앙",효성티앤에스,05:00~24:00,080-920-2220,20251231,
서울교통공사,S1,2호선,2,이대역,0473,236,지하,2,1,1번 출구 방향,효성티앤에스,05:00~24:00,080-920-2220,20251231,
